NAME,CLUBS,ATWins,ATLosses,winRatio,poolWins,poolLosses,poolWinRatio,DEWins,DELosses,DEWinRatio
"
                    Nicholas Zhang",,296,61,82.9%,184,33,84.8%,112,28,80.0%
"
                    Daniel Lee",Elite Fencing Academy (VA) / Elite Fencing Academy (GA),842,280,75.0%,554,174,76.1%,288,106,73.1%
"
                    Kruz Schembri McCord",Masters Fencing Club / Tampa Fencing & Tennis Academy,929,259,78.2%,606,152,79.9%,323,107,75.1%
"
                    Ankith Prasad",Alliance Fencing Academy,596,227,72.4%,389,150,72.2%,207,77,72.9%
"
                    Aiden Click",Apex Fencing Academy,1000,349,74.1%,666,233,74.1%,334,116,74.2%
"
                    christopher chong",Penta Olympic Fencing Club,519,227,69.6%,359,147,70.9%,160,80,66.7%
"
                    Ian Park",Penta Olympic Fencing Club,742,299,71.3%,491,196,71.5%,251,103,70.9%
"
                    Luka Loncar",Olympia Fencing Center,623,277,69.2%,426,181,70.2%,197,96,67.2%
"
                    Dohyun Kim",Battle Born Fencing Club,55,13,80.9%,31,9,77.5%,24,4,85.7%
"
                    Dayus Gohel",Olympia Fencing Center,1086,467,69.9%,738,301,71.0%,348,166,67.7%
"
                    Orion Singha",Team Touche Fencing Center,570,254,69.2%,379,169,69.2%,191,85,69.2%
"
                    Daniel Gao🎂",Cavalier Fencing Club,802,512,61.0%,542,370,59.4%,260,142,64.7%
"
                    Ian Goldfine",New York Fencing Academy,423,207,67.1%,299,143,67.6%,124,64,66.0%
"
                    James Sennewald",Alliance Fencing Academy,271,163,62.4%,197,112,63.8%,74,51,59.2%
"
                    Nicholas Jin",Fortune Fencing,475,229,67.5%,325,156,67.6%,150,73,67.3%
"
                    Peyton Young",Alliance Fencing Academy,387,209,64.9%,279,145,65.8%,108,64,62.8%
"
                    Ethan Boroditsky",Medeo Fencing Club,482,232,67.5%,344,151,69.5%,138,81,63.0%
"
                    Sergei Kudriavtcev",Alliance Fencing Academy,350,160,68.6%,248,104,70.5%,102,56,64.6%
"
                    IMRAN ZAKARIYYA LATIF",,501,224,69.1%,360,149,70.7%,141,75,65.3%
"
                    Shwan Lee",Elite Fencing Academy (VA) / Elite Fencing Academy (GA),443,258,63.2%,328,176,65.1%,115,82,58.4%
"
                    Logan Dieck",Premier Fencing Alliance / Premier Fencing Alliance,366,196,65.1%,246,139,63.9%,120,57,67.8%
"
                    Simon Lioznyansky",Alliance Fencing Academy,489,284,63.3%,360,197,64.6%,129,87,59.7%
"
                    Thomas Murphy",Penta Olympic Fencing Club,391,246,61.4%,273,173,61.2%,118,73,61.8%
"
                    Fritz Micko",Hooked On Fencing,361,163,68.9%,254,109,70.0%,107,54,66.5%
"
                    Frederick Sennewald",Alliance Fencing Academy,302,179,62.8%,224,122,64.7%,78,57,57.8%
"
                    Joshua Yavorovskiy",New York Fencing Academy,360,245,59.5%,267,171,61.0%,93,74,55.7%
"
                    Dylan Kim",Elite Fencing Academy (GA) / Elite Fencing Academy (VA),595,324,64.7%,425,221,65.8%,170,103,62.3%
"
                    Isaac Lief",Fencers Club Inc.,498,276,64.3%,372,183,67.0%,126,93,57.5%
"
                    Luke Strauss",Northern Colorado Fencers,612,360,63.0%,426,254,62.6%,186,106,63.7%
"
                    Owen Richard",Ocean State Fencing Club,570,271,67.8%,405,173,70.1%,165,98,62.7%
"
                    Charles Leone",Elite Fencing Academy (GA) / Elite Fencing Academy (VA),595,330,64.3%,442,223,66.5%,153,107,58.8%
"
                    Shawn Agaon",Medeo Fencing Club / Freehold Fencing Academy,401,202,66.5%,286,131,68.6%,115,71,61.8%
"
                    Branford Higgins",San Diego Fencing Center,302,180,62.7%,218,122,64.1%,84,58,59.2%
"
                    John Neal",Woodlands International Fencing Club,357,194,64.8%,263,126,67.6%,94,68,58.0%
"
                    Odinn Bindas",Medeo Fencing Club / Medeo Fencing Club,285,203,58.4%,211,145,59.3%,74,58,56.1%
"
                    Jonathan Chai",,210,102,67.3%,153,66,69.9%,57,36,61.3%
"
                    JAKEROD MANN",Wanglei International Fencing Club / Wanglei International Fencing Club,66,22,75.0%,41,16,71.9%,25,6,80.6%
"
                    Max Prihodko🫅",Vivo Fencing Club,638,446,58.9%,464,311,59.9%,174,135,56.3%
"
                    Daniel Jin",Battle Born Fencing Club,518,361,58.9%,384,250,60.6%,134,111,54.7%
"
                    Samuel Kobi",Fencers Club Inc.,417,323,56.4%,321,234,57.8%,96,89,51.9%
"
                    James Knox",Fencers Club Inc.,338,165,67.2%,249,105,70.3%,89,60,59.7%
"
                    Alex Knoepffler",Masters Fencing Club,293,172,63.0%,211,120,63.7%,82,52,61.2%
"
                    Fryderyk Wozniak",DC Fencers Club,224,174,56.3%,154,125,55.2%,70,49,58.8%
"
                    Christopher Wright",,356,247,59.0%,263,171,60.6%,93,76,55.0%
"
                    Gabriel Velinov",Hooked On Fencing,193,119,61.9%,137,82,62.6%,56,37,60.2%
"
                    James Gallo",Battle Born Fencing Club / Battle Born Fencing Club,262,165,61.4%,200,114,63.7%,62,51,54.9%
"
                    Ian Alvarez",,354,269,56.8%,261,194,57.4%,93,75,55.4%
"
                    Alexander North","Fencing Sports Academy, Inc.",286,183,61.0%,221,123,64.2%,65,60,52.0%
"
                    Patrick Li",Denver Fencing Center,459,287,61.5%,341,195,63.6%,118,92,56.2%
"
                    Aedin Lai",Marx Fencing Academy / Cavalier Fencing Club,461,408,53.0%,340,297,53.4%,121,111,52.2%
"
                    Ethan Schulze",Academies Of Fencing In Baltimore / Tri-Weapon Fencing Club,234,196,54.4%,179,144,55.4%,55,52,51.4%
"
                    Hunter Yu",,81,79,50.6%,55,61,47.4%,26,18,59.1%
"
                    Benjamin Fleckenstein",Syracuse Musketeers Fencing,472,326,59.1%,341,235,59.2%,131,91,59.0%
"
                    Evan Vezmar",Center for Blade Arts,201,118,63.0%,147,80,64.8%,54,38,58.7%
"
                    Elliot Park",Academy Of Fencing Masters (AFM),385,258,59.9%,296,179,62.3%,89,79,53.0%
"
                    Benjamin O'Donnell",Windy City Fencing-Chicago,310,266,53.8%,236,193,55.0%,74,73,50.3%
"
                    Alec Zhang",Academy Of Fencing Masters (AFM),341,262,56.6%,252,193,56.6%,89,69,56.3%
"
                    Emanuel Sanchez",,315,337,48.3%,235,251,48.4%,80,86,48.2%
"
                    Gabriel Doyon - Verdon",,54,24,69.2%,37,16,69.8%,17,8,68.0%
"
                    Harris Thomas",Alliance Fencing Academy,221,191,53.6%,163,137,54.3%,58,54,51.8%
"
                    Aidan Kumar",Medeo Fencing Club,537,461,53.8%,403,334,54.7%,134,127,51.3%
"
                    Christopher Dekermanji",Swords Fencing Studio,378,302,55.6%,299,218,57.8%,79,84,48.5%
